Normalization-Technique,MEAN-SQUARED-ERROR-MIN,STANDART-DEVIATION-MIN,MEAN-ABSOLUTE-ERROR-MIN,MEDIAN-ABSOLUTE-ERROR-MIN
Mean,0.4448034221898322,0.3995184837237258,0.5340303393562273,0.4763608880663117
Log,0.39034722185840337,0.3566060349807272,0.5130100950992366,0.42391507936980943
Std,0.3419167931434208,0.35767680397947194,0.4625841513048747,0.3826570518167731
MinMax,0.3899616896161757,0.3529492858255847,0.5151587049166358,0.4195632815361012
