Normalization-Technique,MEAN-SQUARED-ERROR-MAX,STANDART-DEVIATION-MAX,MEAN-ABSOLUTE-ERROR-MAX,MEDIAN-ABSOLUTE-ERROR-MAX
Mean,1.7830809364281848,0.7112809325624146,1.13011520271224,1.1698010870300433
Log,1.9762889645660016,0.8745970465826152,1.1006220834941338,1.049424442765439
Std,1.945274919687144,0.8396007638902308,1.1137079854980323,0.9031811106095784
MinMax,2.1502691064754584,0.8916425383324582,1.1641489124298101,1.0706411838531498
