Acuracia,Conjunto
10.0,(0, 1]
30.0,(1, 2]
16.666666666666664,(2, 3]
20.0,(3, 4]
16.666666666666664,(4, 5]
3.3333333333333335,(5, 6]
3.3333333333333335,(6, 7]
33.33333333333333,(0, 1]
26.666666666666668,(1, 2]
16.666666666666664,(2, 3]
16.666666666666664,(3, 4]
6.666666666666667,(4, 5]
